[36mapp_1      |[0m 2019-06-28T10:24:56.651404642Z {:checkpoints [{:id 1435620455, :name :ow.logging.log/log, :file "lifecycles.clj", :fn "eval45901$start_or_stop_component__45903", :line 6, :ns "ow.system.lifecycles", :time #inst "2019-06-28T10:24:56.649-00:00"}], :data {}, :level :info, :msg "Component :heroku-platform-api#0: start"}
[36mapp_1      |[0m 2019-06-28T10:24:56.651903335Z {:checkpoints [{:id 1482174376, :name :ow.logging.log/log, :file "memory.clj", :fn "make_component$start__48621", :line 51, :ns "heroku_addon_test.heroku.platform_api.memory", :time #inst "2019-06-28T10:24:56.651-00:00"}], :data {}, :level :info, :msg "start"}
[36mapp_1      |[0m 2019-06-28T10:24:56.652318838Z {:checkpoints [{:id 965210818, :name :ow.logging.log/log, :file "lifecycle.clj", :fn "start", :line 25, :ns "ow.lifecycle", :time #inst "2019-06-28T10:24:56.652-00:00"}], :data {}, :level :info, :msg "Starting class heroku_addon_test.heroku.platform_api.memory.HerokuPlatformApiMemory"}
[36mapp_1      |[0m 2019-06-28T10:24:56.653219407Z {:checkpoints [{:id 1087613025, :name :ow.logging.log/log, :file "lifecycles.clj", :fn "eval45901$start_or_stop_component__45903", :line 6, :ns "ow.system.lifecycles", :time #inst "2019-06-28T10:24:56.652-00:00"}], :data {}, :level :info, :msg "Component :heroku-resources-resource#0: start"}
[36mapp_1      |[0m 2019-06-28T10:24:56.654183299Z {:checkpoints [{:id 447530913, :name :ow.logging.log/log, :file "lifecycles.clj", :fn "eval45901$start_or_stop_component__45903", :line 6, :ns "ow.system.lifecycles", :time #inst "2019-06-28T10:24:56.653-00:00"}], :data {}, :level :info, :msg "Component :webapp#0: start"}
[36mapp_1      |[0m 2019-06-28T10:24:56.665785394Z {:checkpoints [{:id 537212478, :name :ow.logging.log/log, :file "lifecycles.clj", :fn "eval45901$start_or_stop_component__45903", :line 6, :ns "ow.system.lifecycles", :time #inst "2019-06-28T10:24:56.665-00:00"}], :data {}, :level :info, :msg "Component :heroku-resource-resource#0: start"}
[36mapp_1      |[0m 2019-06-28T10:24:56.666078285Z {:checkpoints [{:id 1722874387, :name :ow.logging.log/log, :file "lifecycles.clj", :fn "eval45901$start_or_stop_component__45903", :line 6, :ns "ow.system.lifecycles", :time #inst "2019-06-28T10:24:56.665-00:00"}], :data {}, :level :info, :msg "Component :foo-resource#0: start"}
[36mapp_1      |[0m 2019-06-28T10:24:56.666368579Z {:checkpoints [{:id 1510615712, :name :ow.logging.log/log, :file "lifecycles.clj", :fn "eval45901$start_or_stop_component__45903", :line 6, :ns "ow.system.lifecycles", :time #inst "2019-06-28T10:24:56.666-00:00"}], :data {}, :level :info, :msg "Component :router#0: start"}
[36mapp_1      |[0m 2019-06-28T10:24:56.666648397Z {:checkpoints [{:id 1365303756, :name :ow.logging.log/log, :file "lifecycles.clj", :fn "eval45901$start_or_stop_component__45903", :line 6, :ns "ow.system.lifecycles", :time #inst "2019-06-28T10:24:56.666-00:00"}], :data {}, :level :info, :msg "Component :router#1: start"}
[36mapp_1      |[0m 2019-06-28T10:24:56.667322355Z {:checkpoints [{:id 1322455710, :name :ow.logging.log/log, :file "dependencies.clj", :fn "eval45848$inject_dependencies__45850$fn__45852$fn__45853", :line 31, :ns "ow.system.dependencies", :time #inst "2019-06-28T10:24:56.667-00:00"}], :data {}, :level :debug, :msg "Injecting into :oauth-token-exchanger#0: :heroku-platform-api"}
[36mapp_1      |[0m 2019-06-28T10:24:56.667700961Z {:checkpoints [{:id 1994587755, :name :ow.logging.log/log, :file "lifecycles.clj", :fn "eval45901$start_or_stop_component__45903", :line 6, :ns "ow.system.lifecycles", :time #inst "2019-06-28T10:24:56.667-00:00"}], :data {}, :level :info, :msg "Component :oauth-token-exchanger#0: start"}
